name,display_name,image,parent_id,sort_index
neurology,neurology,https://images.unsplash.com/photo-1527613426441-4da17471b66d?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
precalculus,precalculus,https://images.unsplash.com/source-404?fit=crop&fm=jpg&h=800&q=60&w=1200,,
numerical-analysis,numerical-analysis,https://images.unsplash.com/photo-1582719367079-bc1b8e5fed9d?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
epilepsy,epilepsy,https://images.unsplash.com/source-404?fit=crop&fm=jpg&h=800&q=60&w=1200,,
hospitals,hospitals,https://images.unsplash.com/photo-1597765221336-1f65bb4c4fee?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,medicine,
confidence-interval,confidence-interval,https://images.unsplash.com/photo-1456553583670-f4242f36d0fc?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
kala-azar,kala-azar,https://images.unsplash.com/photo-1533005346585-b131e79eef3a?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
fields,fields,https://images.unsplash.com/photo-1588379725468-5eade989d35e?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
queuing-theory,queuing-theory,https://images.unsplash.com/photo-1574687290619-fff537e7cfcb?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,mathematics,
number-theory,number-theory,https://images.unsplash.com/photo-1532264523420-881a47db012d?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,mathematics,
random-variables,random-variables,https://images.unsplash.com/photo-1499532744860-fb7526b66e7b?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=300&ixid=eyJhcHBfaWQiOjF9&ixlib=rb-1.2.1&q=80&w=400,,
